story_code,story_name,plot_summary_25_50_words,author_code,in_what_order_are_the_investigation_and_reveal_portions_provided,name_of_detective_number_1,detective_number_1_gender,detective_number_1_role,name_of_detective_number_2,detective_number_2_gender,detective_number_2_role,name_of_assistant_number_1,assistant_number_1_gender,assistant_number_1_role,name_of_assistant_number_2,assistant_number_2_gender,assistant_number_2_role,more_than_two_assistants_if_yes_enter_total_number,number_of_victims_of_gender_male,number_of_victims_of_gender_female,number_of_culprits_of_gender_male,number_of_culprits_of_gender_female,number_of_culprits_of_gender_non_binary,number_of_culprits_of_gender_unknown,are_one_or_more_culprits_introduced_into_the_story_only_during_the_reveal,the_main_culprit,who_initiates_the_detectives_investigation,what_is_the_role_of_the_police_force_in_solving_the_crime,the_storys_main_action_focuses_on_a,when_do_es_the_crime_s_mystery_being_investigated_occur,types_of_crimes_or_quasi_crimes_present_in_story,motives,means_murder_only,does_the_story_provide_sufficient_clues_in_sufficient_detail_to_allow_an_alert_reader_to_correctly_guess_the_solution_before_the_reveal,does_the_story_provide_sufficient_clues_in_sufficient_detail_to_allow_an_alert_reader_to_definitively_solve_the_crime_before_the_reveal,did_either_annotator_personally_correctly_guess_the_solution_to_the_crime_before_the_reveal,types_of_clues,what_is_the_essential_clue_in_the_story_if_present,of_what_type_is_the_essential_clue_if_present,what_is_the_most_salient_clue_in_the_story_if_clues_are_present,of_what_type_is_the_most_salient_clue_if_clues_are_present,describe_the_main_red_herring_if_present,of_what_type_is_the_main_red_herring_if_present,presence_of_planted_or_fabricated_evidence,types_of_evidence_made_available_in_the_story,is_the_crime_solved,does_the_detective_pointedly_and_independently_decide_not_to_alert_the_authorities_to_the_facts_of_the_crime_despite_the_fact_that_an_actionable_crime_has_been_committed,do_you_receive_a_satisfying_narrative_of_account_of_the_crime_s_in_all_their_relevant_details_and_a_summary_of_the_process_by_which_the_crime_s_are_solved,how_satisfying_is_this_story_as_a_piece_of_detective_fiction,would_you_recommend_this_story_to_a_friend,crime_trajectory,what_is_the_reveal_border_sentence,surname_s,given_name_s,sex,year_of_birth,country_of_birth,city_town_of_birth,date_of_death_yyyy_mm_dd,country_of_death,city_town_of_death,nationality_ies,viaf,story_url,date_of_first_publication_yyyy_mm_dd,format_of_first_publication_journal_or_book,name_of_journal_or_title_of_book,text_words,before_reveal_words,after_reveal_words,title_words,unique,year_published
MSH01,Silver Blaze,A prized racehorse: missing! Trainer: murdered! Sherlock Holmes: investigates!,ACD,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,3,0,2,1,0,0,No,Acts mostly alone with some assistance,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Before the investigation,"Suspected murder, Theft, Fraud, Mischief, Assault",Greed,Natural causes,Yes,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)","the cataract knife (trainer's knife used for surgery, not self defense).",Physical clue,The cataract knife.,Physical clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,4,Yes,Qrime → different qrime,"Sherlock Holmes laughed. “I assure you that I have not associated you with the crime, Colonel,” said he. “The real murderer is standing immediately behind you.” He stepped past and laid his hand upon the glossy neck of the thoroughbred.",Concan Doyle,Arthur,M,1859-05-22,Scotland,Edinburgh,1930-07-07,England,Crowborough,"British, Scottish",https://viaf.org/viaf/65283845/,https://sherlock-holm.es/stories/html/silv.html,1892-12-01,Journal,The Strand,9567,9567,1361,13,FALSE,1892
MSH02,The Yellow Face,Mr. Grant Munro approaches Sherlock Holmes to investigate a mysterious yellow face in the windows of a neighboring cottage and the face's entanglement with Munro's wife. Blackmail?! Infidelity?! Is this case as ugly as it seems?,ACD,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,0,0,0,1,0,0,No,Acts alone,A private client,Police are not present,Quasi-crime,"Before the investigation, During the investigation",Fraud,"Pride, Love",NA,No,No,No,"Legible but not usable (legible → not usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",NA,NA,The description of the rigid and immobile face.,Testimonial clue,Photograph of wife in the cottage,Testimonial clue,NA,Testimonial evidence,No,No,Yes,2,Yes,No qrime → no qrime,"“I will tell you the meaning of it,” cried the lady, sweeping into the room with a proud, set face",Concan Doyle,Arthur,M,1859-05-22,Scotland,Edinburgh,1930-07-07,England,Crowborough,"British, Scottish",https://viaf.org/viaf/65283845/,NA,NA,NA,NA,7497,7497,801,16,FALSE,NA
MSH03,The Stock-Broker's Clerk,"A clerk is about to start a new job but is instead offered an absurdly lucrative alternative job at a shady new corporation. After a few days of copying addresses and names from a directory, he asks Holmes to figure out what's the deal with his job.",ACD,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,2,0,2,0,0,0,Yes,Acts together with one or more equal partners,A private client,Police are not present,Crime,"Before the investigation, During the investigation","Murder, Theft, Fraud, Forgery",Greed,Blunt force trauma,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The handwriting samples demanded by the clerk's new employer,Testimonial clue,The clerk's new employer tells the clerk not to resign his original job.,Testimonial clue,NA,NA,NA,Testimonial evidence,Yes,No,Yes,2,No,No qrime → qrime,“Oh surely if you consider the events at first they can only point to one conclusion.”,Concan Doyle,Arthur,M,1859-05-22,Scotland,Edinburgh,1930-07-07,England,Crowborough,"British, Scottish",https://viaf.org/viaf/65283845/,NA,NA,NA,NA,6783,6783,1344,25,FALSE,NA
ASH10,The Adventure of the Noble Bachelor,"After a marriage with one of the wealthiest bachelors in England is suddenly broken off with the bride's disappearance on the day of the wedding, Holmes delves into the case, using his detective skills to make sense of a jealous lover, a fallen bouquet, and a possible unknown history.",ACD,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,1,0,1,1,0,0,Yes,Acts together with one or more equal partners,A private client,Police are present and contribute significantly to solving the crime,Quasi-crime,Before the investigation,"Suspected murder, Fraud",Love,NA,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The allusion to claim-jumping by Francis Moulton which references taking possession of something that another person has prior claim to.,Testimonial clue,Her changed attitude after dropping the bouquet,Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,4,No,Qrime → different qrime,“The best possible.”,Concan Doyle,Arthur,M,1859-05-22,Scotland,Edinburgh,1930-07-07,England,Crowborough,"British, Scottish",https://viaf.org/viaf/65283845/,https://sherlock-holm.es/stories/html/nobl.html,1892-04-01,Journal,The Strand,8100,5456,2643,36,FALSE,1892
ASH11,The Adventure of the Beryl Coronet,"With a squandering son and the disappearance of an entrusted national treasure, Mr. Holder. comes to Holmes with confidence of the truth behind this case of thievery. However, in true Holmes fashion, we soon find out that such a conclusion could not be further from the truth.",ACD,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,1,0,1,1,0,0,Yes,Acts together with one or more equal partners,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Before the investigation,"Theft, Assault","Greed, Love",NA,Yes,No,No,"Illegible, Legible but not usable (legible → not usable), Usable in real time (usable → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",Footprints in the snow,Physical clue,How Mary (the culprit) suddenly closes the window after Mr. Holder appears,Testimonial clue,Holmes' constant questions regarding the maid's lover who isn't involved in this case at all.,Testimonial clue,NA,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,4,No,Qrime → same qrime,"""For heaven's sake, tell me, then, what is this extraordinary mystery!""",Concan Doyle,Arthur,M,1859-05-22,Scotland,Edinburgh,1930-07-07,England,Crowborough,"British, Scottish",https://viaf.org/viaf/65283845/,https://sherlock-holm.es/stories/html/bery.html,1892-05-01,Journal,The Strand,9674,7599,2066,35,FALSE,1892
ASH12,The Adventure of the Copper Beeches,"After being offered a well-paid but strange position as a governess, Violet Hunter comes to Holmes seeking his advice. With requirements to cut her hair and dress in particular colors, the profound absurdism of this case proves to only be the surface.",ACD,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,0,1,1,1,0,0,No,Acts together with one or more equal partners,A private client,Police are not present,Crime,"Before the investigation, During the investigation","Fraud, Kidnapping",Greed,NA,Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",The hair discovered in the drawer,Physical clue,The hair discovered in the drawer,Physical clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,5,Yes,No qrime → qrime,"If there's police-court business over this, you'll remember that I was the one that stood your friend, and that I was Miss Alice's friend too.",Concan Doyle,Arthur,M,1859-05-22,Scotland,Edinburgh,1930-07-07,England,Crowborough,"British, Scottish",https://viaf.org/viaf/65283845/,https://sherlock-holm.es/stories/html/copp.html,1892-06-01,Journal,The Strand,9938,9345,570,36,FALSE,1892
ASH07,The Adventure of the Blue Carbuncle,"Questions demand to be answered when the Blue Carbuncle, a precious gemstone that was stolen from the Countess of Morcar, is mysteriously discovered inside of goose intended to be cooked for a Christmas dinner. Detective Sherlock Holmes investigates the case, in hopes of finding answers to this peculiar mystery.",ACD,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,1,1,1,1,0,0,No,Acts mostly alone with some assistance,A private client,Police are not present,Crime,Before the investigation,"Theft, Assault",Greed,NA,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",Ryder yelling at the shop-owner in pursuit of his missing goose,Testimonial clue,The discovery of the goose supplier from the wager with Mr. Breckinridge,Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,5,Yes,Qrime → different qrime,A flush sprang to the white cheeks of the stranger.,Concan Doyle,Arthur,M,1859-05-22,Scotland,Edinburgh,1930-07-07,England,Crowborough,"British, Scottish",https://viaf.org/viaf/65283845/,https://sherlock-holm.es/stories/html/blue.html,1892-01-01,Journal,The Strand,7850,5877,1965,36,FALSE,1892
ASH08,The Adventure of the Speckled Band,"A woman seeks answers pertaining to the unusual death of her sister before her wedding day. With exotic animals on the loose and little to no details, Sherlock Holmes and Watson seek answers to this murder!",ACD,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,0,2,1,0,0,0,No,Acts alone,A private client,Police are not present,Crime,"Before the investigation, During the investigation","Murder, Assault",Greed,"Poison, Indirectly, by an elaborate device",No,No,No,"Illegible, Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The chair in the stepfather's room with the lash under it,Physical clue,The will of the deceased wife (the allowance of the daughters),Physical clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,5,Yes,Qrime → same qrime,“The band! the speckled band!” whispered Holmes.,Concan Doyle,Arthur,M,1859-05-22,Scotland,Edinburgh,1930-07-07,England,Crowborough,"British, Scottish",https://viaf.org/viaf/65283845/,https://sherlock-holm.es/stories/html/spec.html,1892-02-01,Journal,The Strand,9891,9005,881,35,FALSE,1892
ASH09,The Adventure of the Engineer's Thumb,"A hydraulic engineer's thumb was cut off in a disastrous series of events, which began with a well-paying job proposition and ended with foul play. Sherlock Holmes and Watson are tasked with finding the culprits responsible for these deeds.",ACD,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,2,0,2,1,0,0,No,Acts together with one or more equal partners,The assistant(s),"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Before the investigation,"Murder, Assault, Forgery",Greed,"Indirectly, by an elaborate device",No,No,No,"Illegible, Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The testimony provided by Victor Hatherley (the hydraulic engineer) when recounting his experience,Testimonial clue,"The unusual stated use of the hydraulic press (i.e., being utilized indoors and for excavating fuller's-earth)",Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,No,2,No,Qrime → same qrime,"If there's police-court business over this, you'll remember that I was the one that stood your friend, and that I was Miss Alice's friend too.",Concan Doyle,Arthur,M,1859-05-22,Scotland,Edinburgh,1930-07-07,England,Crowborough,"British, Scottish",https://viaf.org/viaf/65283845/,https://sherlock-holm.es/stories/html/engr.html,1892-03-01,Journal,The Strand,8348,NA,NA,38,FALSE,1892
ASH02,The Red-Headed League,"A local businessman was conned in an attempted bank robbery scheme, in which his assistant prompted him to join “The Red-headed League”, which was a cover to dig a tunnel to the bank, and the assistant and his partner were caught with the assistance of Sherlock Holmes and Dr. Watson.",ACD,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,1,0,2,0,0,0,Yes,Acts mostly alone with some assistance,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, After the investigation","Theft, Fraud, Breaking and entering",Greed,NA,No,No,No,"Illegible and never usable (illegible → never usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The assistant's dirty trouser knees,Physical clue,The use of the cellar by the assistant,Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,4,Yes,No qrime → qrime,"“John Clay, the murderer, thief, smasher, and forger.",Concan Doyle,Arthur,M,1859-05-22,Scotland,Edinburgh,1930-07-07,England,Crowborough,"British, Scottish",https://viaf.org/viaf/65283845/,https://sherlock-holm.es/stories/html/redh.html,1891-08-01,Journal,The Strand,9149,6578,2565,22,FALSE,1891
